NAME1,I,type,other,hubble,sat,bar,core,asa,mg,tl,gud,onsa,ring
J004719.40+144212.6,0.11935585904592795,e,,a,,1,1,,,,,,
J033957.87-061215.1,0.12152022012868274,d,,a,,1,1,,,,,,
J075525.29+391109.9,0.09288001315062172,1,,a,1,1,1,,,,,,1
J080020.99+263648.7,0.08695685830161501,d,,a,,1,,,,,,,
J080538.66+261005.5,0.11037756181391972,1,,a,1,1,1,,,,,,
J102841.98+490418.7,0.0910383621046465,d,,a,,1,1,,,,,,
J105833.33+461604.8,0.10879996254391346,d,,a,,1,,1,,,,,
J111045.96+113641.6,0.13661147820603425,d,,a,,1,1,,,,,,1
J112637.74+513423.0,0.07775013300662557,d,,a,,1,1,,,,,,
J120257.82+045045.1,0.14598055921085015,d,,a,1,,,,,,,,
J123651.18+453904.2,0.13597948728339898,1,,a,1,1,1,,,,,,1
J155252.84+403848.2,0.14232072944999247,1,,a,1,1,1,,,,,,1
J155625.91+090318.6,0.121716557808386,d,,a,,1,1,,,,,,
J155909.63+350147.5,0.11632975275267902,e,,a,,1,1,1,,,,,
J160154.01+315331.4,0.16192586253281158,e,,a,,1,1,1,,,,,1
J213741.45+005317.0,0.0954248511761994,e,,a,,1,1,1,,,,,
J000805.62+145023.4,0.12220776477169536,d,,l,,,,,,,,,
J002746.39-101546.7,0.06068406966940579,b,,e,,,,,,,,,
J004042.10-110957.6,0.1236131628585556,b,,e,,,,,,,,,
J004236.86-104921.9,0.10705222958275658,b,,e,,,,,,,,,
J011059.31+002601.1,0.053740834235868014,b,,e,,,,,,,,,
J011448.68-002946.1,0.14875994304957274,4,,a,1,,,,1,,,,
J013402.53-094627.0,0.14892462905292075,1,,a,,,,,,,,,1
J020615.99-001729.2,0.08108567706948967,3,,a,,,,,,1,,,
J032235.86-010307.7,0.1315578038007361,d,,a,,,,,,,,,1
J033013.26-053236.1,0.14445811144974766,2,,a,,,,,,,1,,1
J033458.00-054853.3,0.0666069376839767,b,,e,,,,,,,,,
J034547.98-000025.6,0.08004398816010294,a,,e,,,,,,,,,
J040929.15-042902.6,0.12026164209641925,f,,e,,,,,,,,,
J073106.87+392644.7,0.14281665544619804,d,,s,,,,,,,,,
J074507.25+460420.7,0.15171684495198226,1,,a,,,,,,1,,,1
J080629.81+241955.7,0.10829193977915427,f,,e,,,,,,,,,
J080740.99+390015.3,0.07339990496454601,f,,e,,,,,,,,,
J080801.75+381935.3,0.12492022912492685,f,,e,,,,,,,,,
J081252.47+383823.9,0.125545779337794,d,,s,,,,,,,,,
J081516.87+460431.0,0.16098510384023554,d,1,s,,,,,,,,,
J082449.95+293644.2,0.18361260289626666,b,,e,,,,,,,,,
J082510.23+375919.8,0.11601713669270335,2,,a,,,,,,,,,
J082620.82+055727.8,0.08990661269402607,b,,e,,,,,,,,,
J082842.73+454433.3,0.11415923703700052,b,,e,,,,,,,,,
J083202.16+461425.7,0.1212407940343247,2,,a,,,1,,,,,,1
J083220.04+302719.4,0.11443253221081592,b,,e,,,,,,,,,
J083732.70+284218.7,0.10142556987865396,1,,a,1,,,,,,,,
J083803.67+540642.2,0.16246770805885385,d,,e,,,,,,,,,
J083949.65+484701.5,0.14958005424334178,2,e,a,,,,,,,1,,
J084137.88+545506.6,0.1223130324855494,f,,e,,,,,,,,,
J090436.95+553602.7,0.574007214955777,4,,a,,,,,1,,,,
