NAME2,I,type,other,hubble,sat,bar,core,asa,gud,tl,mg,onsa,ring
J003735.81+001650.5,0.08767146608017154,1,e,a,,1,1,,,,,1,1
J003843.06+003451.7,0.13589257796047507,1,d,a,,1,1,1,,,,,1
J003937.83-001943.6,0.12287325173302388,d,,a,,1,1,,,,,,
J073548.83+401938.3,0.12474054797812968,d,,a,,1,1,,,,,,
J080318.20+314634.9,0.10989385976458876,1,,a,,1,1,1,,,,,
J085214.30+525323.9,0.14806630367951007,1,,a,,1,1,,,,,,1
J090100.07+310526.5,0.06450111138944811,d,,a,,1,1,,,,,,
J093236.59+095026.0,0.11393341780803158,e,,a,,,,1,,,,,
J100447.30+573605.9,0.12417855833547548,1,,a,1,1,1,,,,,,
J103216.26+533842.2,0.1109804928559426,d,,a,,1,1,,,,,,
J105646.12+053940.0,0.13277634983399658,1,,a,,1,1,,,,,,1
J110630.66+063333.9,0.13221940850068994,d,,a,,1,1,,,,,,
J112625.88-015240.8,0.13295187133644984,d,,a,,1,,,,,,,
J112800.49+110929.8,0.14095522903911115,d,,a,,1,1,,,,,,
J113252.56+433053.9,0.0824875307314075,d,,a,,1,,,,,,,
J113446.25+025515.7,0.11173038941528488,d,,a,,1,1,,,,,,1
J121808.09+060822.3,0.08212276471038098,d,,a,,1,,,,,,,
J130240.42+514644.1,0.14267268455128335,1,,a,1,1,1,,,,,,1
J131915.90+543606.3,0.09344186472615383,d,,a,,1,1,,,,,,1
J135429.16+541950.4,0.07381500675761163,1,,a,1,1,1,,,,,,1
J140836.94+032522.7,0.1208070698619904,d,,a,,1,,,,,,,
J143616.85-012313.1,0.15209603951519515,1,,a,1,1,1,,,,,,1
J162241.48+495357.1,0.10490117325489487,1,,a,1,1,,,,,,,
J162656.91+352760.0,0.118665918149672,1,,a,1,1,1,,,,,,
J163501.68+330658.1,0.1351607145515836,1,,a,1,1,1,,,,,,
J164106.57+460014.6,0.07955993943633287,d,,a,,1,1,,,,,,1
J210224.28+101028.9,0.18201313848974585,2,3,a,1,1,1,,,,,,
J211224.69+112431.4,0.10862139587379126,1,,a,1,1,1,,,,,,
J215815.29+112924.9,0.10185998052005757,2,,a,,1,1,,,,,,1
J001529.74+003823.2,0.11200023529052,d,,s,,,,,,,,,
J001601.32+155634.8,0.09962010184718212,a,,e,,,,,,,,,
J001947.33+003526.9,0.09813735411932467,b,,e,,,,,,,,,
J002537.70+000212.2,0.09166147417352816,f,,e,,,,,,,,,
J002903.06-110348.3,0.1137494038489842,f,,e,,,,,,,,,
J002930.15+152325.8,0.10675861025929867,f,,e,,,,,,,,,
J004214.99-104414.9,0.12183568277085995,b,,e,,,,,,,,,
J004436.94-094600.4,0.170596279221384,b,,e,,,,,,,,,
J004542.68-103745.5,0.2962941134935928,c,,l,,,,,,,,,
J004922.37-091737.0,0.09032072870627217,b,,e,,,,,,,,,
J005059.24-003129.2,0.10003259101800424,f,,e,,,,,,,,,
J005256.01+154707.9,0.3005664016616697,b,,e,,,,,,,,,
J005329.92-084604.0,0.12093727151397407,1,,a,,,,1,,,,,
J005342.65-010506.6,0.10002249383952504,f,,e,,,,,,,,,
J005940.11+151951.5,0.0880187210182822,1,,a,1,,,,,,,,
J010211.33+143021.8,0.18687309637323246,c,2,l,,,,,,,,,
J010239.14-005243.5,0.12456398718615876,c,,l,,,,,,,,,
J010606.93+002025.2,0.09054655053441674,a,,e,,,,,,,,,
J010709.16-003718.1,0.0593245904441058,a,,e,,,,,,,,,
J010716.63-003837.3,0.0447780542396112,b,,e,,,,,,,,,
J010957.04-004212.7,0.13753483311143685,f,,e,,,,,,,,,
J011336.74-103445.7,0.1144739022804336,d,,s,,,,,,,,,
J011654.72-102202.7,0.09614411899840644,f,,e,,,,,,,,,
J011905.14+003745.0,0.15820976201721,a,,e,,,,,,,,,
J012012.10+143340.6,0.12480890857683352,1,3,a,,,,,,1,,,
J012516.38-085225.2,0.22207205238557992,1,,a,1,,,,,,,,1
J012529.13-000326.3,0.0467402617144398,b,,e,,,,,,,,,
J012801.39+131914.1,0.1116956894975802,f,,e,,,,,,,,,
J012839.88+144553.8,0.342483389227352,4,,a,,,,,,,1,,
J013924.88-092404.3,0.12035639729342194,1,,a,1,,,,,,,,
J014600.40-100141.5,0.12537616088947534,f,,e,,,,,,,,,
J015248.42-084320.7,0.10737857063011842,d,,s,,,,,,,,,
J015612.53+145423.9,0.11866191761550685,1,,a,1,,,,,,,,
J015650.69+145224.2,0.15944192521677994,1,,a,,,,1,,,,,
J020012.57-003335.6,0.1885615504243483,b,,e,,,,,,,,,
J021404.40+131156.3,0.08477192298291593,f,,e,,,,,,,,,
J021405.91-001637.0,0.09752629335070896,a,,e,,,,,,,,,
