dr7objid,ra,dec,gz2class
588017703996096547,160.9904,11.70379,SBb?t
587742775634624545,185.30342,18.382704,SBc(r)
587724648188543033,192.05688,-3.3328447,SBb2l(o)
587739720286863441,184.40326000000002,29.60802,SBb(r)
587731512078893077,41.604859999999995,-0.49865448,SBc?t
588007004186476581,227.44485,57.0002,SBb?t
588010360698961934,184.84267,6.0986785999999995,SBc2t
588017948822863950,208.3401,40.36394,SBc3m
587735349112799302,186.76057,15.461479999999998,SBb
587738410330292307,161.64565,13.750862,SBc3t
588017112366841905,174.43376,47.89314,SBc?t(m)
587742864209084513,171.62413,16.863422,SBb+t
588017605758550042,186.3942,45.68523,SBd2t(r)
587725474420097049,161.65356,63.22424,SBd+l
587741829115936840,154.41068,21.688248,SBb2t(r)
587726031719301138,197.38805,1.6730622,SBb+t
587733080271749233,167.73696999999999,53.387769999999996,SBc?t
587729970181963916,230.23099,-2.5779297000000003,SBc2m(r)
587735696980705286,185.19799999999998,58.09251,SBb2t(r)
587738196660650025,146.28736999999998,68.594574,SBb?t
588017730302771288,193.7619,8.065547,SBb2t
587726015606685723,182.0463,2.8782847,SBc2m
588015508216086589,46.718426,-0.79449236,SBb(r)
587739609713410096,217.31926,28.821884000000004,SBb+t
587729156282712149,183.99937,66.23084,SBb(r)
587726016694976519,215.2332,3.2380153999999997,SBb
588011217525997677,210.19057999999998,59.328316,SBb2l
587735349101133857,159.16017,14.171104000000001,SBb(r)
587734690886713453,134.71028,6.292994,SBc2l
587728676861051075,203.04324,62.76773000000001,SBb?m(m)
587731892188545037,178.74466,58.49361,SBc2t
587739504479109227,209.23332,29.164377,SBb+t
587736584426094619,210.08382999999998,38.915424,SBb+t
587745243615002664,120.488396,8.551872,SBb(o)
587731886272413783,123.24135600000001,36.25463,SBb2m
587742611345834108,233.84672999999998,12.047592,SBb?t
587729153595932708,171.37688,63.4463,SBc2t
587735240099954710,129.38628,28.705192999999998,SBb+t
588009372297723957,164.78749,61.53066999999999,SBc2t(r)
588011218067456047,227.38155,54.506477000000004,SBb?t(r)
587728679541932159,185.6948,65.84379,SBb2m
588023668635664401,185.87425,19.426903,SBc
587742628529766517,233.74391,11.750277,SBb+t
587736618792059114,248.60617000000002,21.540905,SBb2m
587739382325903376,208.32411000000002,33.490845,SBc?t(r)
587739720308424791,237.59467,18.939273999999997,SBc+t
587741601497677863,191.3219,27.125593,SBa2l(i)
587741828043898918,158.69707,21.648267999999998,SBc?m
588017705081241611,187.57655,13.5776415,SBc
587734892211142692,168.1659,9.055837,SBc(r)
587728679541604461,183.81601,65.98532,SBc4t
588010878771068969,207.4116,4.2382817,SBb?t(r)
587734623237111983,119.58526599999999,25.149214,SBc+m
588017947753250860,219.34227,36.567852,SBb?t
588017948813492255,179.64186,42.73404,SBc+t
587738411940642859,160.91211,14.871856,SBc+t
587738574073757740,209.21255,37.797237,SBb?t
588017726011867141,186.69183,7.919859,SBc?t
587733409915797539,232.43752999999998,42.918648,SBb2t(r)
587729386614489134,177.26682,59.432680000000005,SBb2t
588010880371851309,184.89899,5.84675,SBb(r)
587739115774214259,124.79478,21.435776,SBb
588011125190885402,202.51488,62.511562,SBc+t
587732770502279188,144.74661,6.955439999999999,SBc+t
587729773682884875,208.0174,-2.2066112,SBb+t
588017702946930712,218.18309,9.89171,SBc3m
587739099132067861,170.66261,37.765106,SBd2m
588017569773912076,189.43933,11.81675,SBb?t
587732703946604741,176.27301,8.469510000000001,SBc?t
587735348039712815,188.2814,14.574942000000002,SBb2l
587739097249808422,162.10341,34.71141,SBc3m
588017990702858263,234.40091,5.9740148,SBc2m
587741722289176700,200.73172,26.980738,SBc?t
587731511533568042,22.244331,-0.9489985999999999,SBc2l(r)
587739407321006093,190.43562,35.062756,SBc+t
587727944029962369,140.90208,2.1364744,SBc+t
587729158442057733,223.27185,3.331782,SBb+t
587730845814030428,313.86508,-1.225244,SBb?t
587742572687917067,176.26616,19.973679999999998,SBb2m(m)
587735489748336733,223.8149,42.506865999999995,SBb(r)
587738951493156928,201.5381,35.934425,SBb2m
588017726550179866,190.04971,8.383733,SBc
587735342654095374,148.7065,9.2710705,SBc2t
587741533329096812,188.46307,30.277472999999997,SBc?m
588017979436761107,205.16652,38.794090000000004,SBb?t
587725468523102256,134.24171,52.06595,SBb2l
587741603110977632,198.36229,27.80237,SBb?t
587738951489486893,191.10915,37.121212,SBc+t
588011124118585393,208.53905,60.678062,SBb(r)
587741722823950350,195.35886000000002,27.885986,SBc+t
587739828738916399,216.09557999999998,24.614122000000002,SBc2m
587734622171168831,136.49768,35.377373,SBb+t
587739828210958448,236.74535,17.884176,SBb2l(d)
588017978361446420,200.485,38.73471,SBc?m
