NAME1 RA1 DEC1 Z1 RMS1 R1 G1 M1 Cf1 Cl1 Aib1 Aog1 NAME2 RA2 DEC2 Z2 RMS2 R2 G2 M2 Cf2 Cl2 Aib2 Aog2
J083732.70+284218.7 129.386270 28.705196 0.011585 0.015562 93.000000 0.575384 -2.108773 0.452552 3.134418 0.120757 0.074415 J231221.42+143633.8 348.089230 14.609381 0.016234 0.016940 75.000000 0.606431 -2.628868 0.534480 4.354527 0.110534 0.057486
J083732.70+284218.7 129.386270 28.705196 0.011585 0.015562 93.000000 0.575384 -2.108773 0.452552 3.134418 0.120757 0.074415 J130850.11-004902.3 197.208800 -0.817304 0.017968 0.024070 59.000000 0.591395 -2.470289 0.528003 3.798339 0.140519 0.085634
J083732.70+284218.7 129.386270 28.705196 0.011585 0.015562 93.000000 0.575384 -2.108773 0.452552 3.134418 0.120757 0.074415 J034240.10-062254.6 55.667104 -6.381836 0.021197 0.019887 45.000000 0.656439 -2.569083 0.524887 3.829584 0.105329 0.072564
J083732.70+284218.7 129.386270 28.705196 0.011585 0.015562 93.000000 0.575384 -2.108773 0.452552 3.134418 0.120757 0.074415 J120003.17+081054.2 180.013200 8.181722 0.020423 0.015774 75.000000 0.585122 -2.744676 0.501990 4.591650 0.176363 0.096342
J083732.70+284218.7 129.386270 28.705196 0.011585 0.015562 93.000000 0.575384 -2.108773 0.452552 3.134418 0.120757 0.074415 J033733.38-063113.6 54.389098 -6.520457 0.017910 0.019591 40.000000 0.683593 -2.630190 0.583904 4.097720 0.048421 0.032786
J033013.26-053236.1 52.555265 -5.543350 0.013147 0.019510 59.000000 0.611493 -2.176340 0.493836 3.153526 0.151946 0.129069 J010709.16-003718.1 16.788159 -0.621707 0.017740 0.007638 85.000000 0.566386 -2.708684 0.505218 4.375306 0.079614 0.043211
J033013.26-053236.1 52.555265 -5.543350 0.013147 0.019510 59.000000 0.611493 -2.176340 0.493836 3.153526 0.151946 0.129069 J100811.56+422507.2 152.048180 42.418680 0.023135 0.025851 35.000000 0.575602 -2.102038 0.478097 2.870156 0.161636 0.113449
J033013.26-053236.1 52.555265 -5.543350 0.013147 0.019510 59.000000 0.611493 -2.176340 0.493836 3.153526 0.151946 0.129069 J231644.67+132858.8 349.186140 13.483008 0.015772 0.019306 75.000000 0.565307 -2.726509 0.507011 4.375306 0.161261 0.092927
J033013.26-053236.1 52.555265 -5.543350 0.013147 0.019510 59.000000 0.611493 -2.176340 0.493836 3.153526 0.151946 0.129069 J133305.34-010208.9 203.272260 -1.035819 0.012382 0.012735 51.000000 0.639765 -2.955716 0.609650 4.119544 0.057377 0.047783
J033013.26-053236.1 52.555265 -5.543350 0.013147 0.019510 59.000000 0.611493 -2.176340 0.493836 3.153526 0.151946 0.129069 J135429.16+541950.4 208.621500 54.330661 0.015338 0.023193 56.000000 0.637990 -2.458320 0.543784 3.784810 0.115914 0.066467
J094529.37+093610.4 146.372370 9.602897 0.013277 0.022997 26.000000 0.674198 -2.419102 0.551549 3.494850 0.093163 0.049923 J100213.84+114120.5 150.557680 11.689017 0.021984 0.022143 28.000000 0.591161 -1.996651 0.410210 2.917883 0.407791 0.358532
